,baths,location,price,beds,area,condo
0,2,2,94.905,2,0.941,1
1,2,2,98.937,3,1.146,0
2,2,2,100.309,3,0.909,0
3,2,3,106.25,3,1.289,0
4,1,3,107.502,3,1.02,0
5,2,2,108.75,2,1.022,0
6,2,2,110.7,2,1.134,1
7,1,2,113.263,2,0.844,0
8,1,2,116.25,2,0.795,1
9,1,2,120.0,2,0.588,0
10,2,2,121.63,3,1.356,0
11,2,2,122.0,3,1.118,0
12,2,3,122.682,4,1.329,0
13,2,2,123.0,4,1.24,0
14,2,2,124.1,3,1.601,0
15,2,2,125.0,3,0.901,0
16,2,2,126.64,3,1.088,0
17,1,3,127.281,3,0.963,0
18,2,3,129.0,3,1.119,0
19,2,2,131.2,4,1.38,0
20,2,3,132.0,3,1.248,0
21,2,3,133.0,2,1.039,1
22,2,2,134.555,3,1.152,0
23,2,2,136.5,3,1.38,0
24,2,2,138.75,3,1.116,0
25,2,3,141.0,2,1.039,1
26,2,3,146.25,3,1.418,0
27,2,2,147.308,3,1.082,0
28,2,3,148.75,4,1.472,0
29,2,3,149.593,4,1.146,0
30,1,2,150.0,1,0.76,1
31,2,2,152.0,2,1.304,1
32,2,3,154.0,3,1.207,0
33,2,3,156.896,3,1.056,0
34,2,2,161.25,2,1.043,0
35,2,2,161.5,4,1.587,0
36,1,2,164.0,4,1.12,0
37,2,3,165.0,4,1.58,0
38,1,3,166.357,4,1.955,0
39,2,2,166.357,4,1.656,0
40,2,3,168.0,3,1.477,0
41,2,3,170.0,3,1.188,0
42,2,3,173.0,4,1.59,0
43,2,3,174.25,3,1.463,0
44,2,3,174.313,4,1.714,0
45,2,3,178.48,3,1.185,0
46,2,3,178.76,3,1.406,0
47,2,3,181.0,3,1.172,0
48,1,2,181.872,3,1.152,0
49,3,3,182.587,4,1.851,0
50,2,2,182.716,3,1.215,0
51,2,3,182.75,3,1.13,0
52,2,2,183.2,4,1.603,0
53,1,3,188.741,3,1.479,0
54,2,3,189.0,3,1.42,0
55,2,3,192.067,3,1.28,0
56,2,3,194.0,3,1.586,0
57,2,2,194.818,3,1.362,0
58,2,3,198.0,3,1.266,0
59,2,3,199.5,4,1.715,0
60,2,4,200.0,3,1.82,0
61,1,2,200.0,3,0.936,0
62,2,2,208.0,3,1.511,0
63,2,3,212.864,4,1.59,0
64,2,3,221.0,4,1.596,0
65,2,2,221.0,2,1.341,0
66,3,3,223.058,5,2.136,0
67,2,3,227.887,4,1.616,0
68,2,3,231.477,3,1.478,0
69,2,2,234.697,3,1.287,0
70,2,2,235.0,4,1.277,0
71,2,2,236.0,4,1.448,0
72,3,3,236.685,4,2.235,0
73,2,2,237.8,3,2.093,0
74,2,2,240.122,3,1.193,0
75,2,3,242.638,3,2.163,0
76,2,3,244.0,3,1.269,0
77,1,3,244.96,3,0.958,0
78,3,3,245.918,5,2.508,0
79,2,2,250.0,3,1.305,0
80,2,3,250.0,4,1.591,0
81,2,2,250.134,2,1.326,1
82,2,3,254.2,3,1.843,0
83,2,2,254.2,4,1.921,0
84,3,3,258.0,5,2.79,0
85,2,2,260.0,3,1.541,0
86,1,3,260.014,3,1.018,0
87,2,2,265.0,3,1.672,1
88,1,3,271.742,3,0.975,0
89,3,3,273.75,4,2.372,0
90,2,3,275.086,3,1.446,0
91,3,3,280.987,4,3.009,0
92,2,3,285.0,4,2.056,0
93,2,3,287.417,4,1.993,0
94,2,3,291.0,3,1.857,0
95,1,1,292.024,2,1.126,0
96,3,3,297.0,5,2.494,0
97,2,3,298.0,3,1.843,0
98,2,2,299.0,2,1.52,0
99,3,2,304.037,5,2.8,0
100,2,3,311.0,4,2.309,0
101,3,2,315.537,5,2.367,0
102,4,2,320.0,5,3.516,0
103,3,3,328.36,4,1.914,0
104,1,2,334.15,2,1.69,0
105,3,3,335.75,3,2.725,0
106,3,3,335.75,4,2.354,0
107,2,4,344.25,3,2.185,0
108,2,3,346.21,4,1.801,0
109,3,3,347.029,3,1.961,0
110,2,3,347.65,4,3.134,0
111,3,3,351.3,4,1.915,0
112,3,2,370.5,4,2.734,0
113,2,3,372.0,3,2.11,0
114,3,3,375.0,5,3.164,0
115,3,2,381.3,5,3.599,0
116,2,3,381.942,4,2.054,0
117,2,2,387.731,4,1.83,0
118,3,1,391.0,3,1.627,0
119,3,3,394.47,4,3.44,0
120,2,4,395.0,3,2.846,0
121,3,3,400.186,4,2.359,0
122,3,3,415.0,3,2.052,0
123,3,3,425.0,5,3.433,0
124,3,2,430.0,5,3.615,0
125,3,4,460.0,5,2.687,0
126,3,3,461.0,4,2.724,0
127,3,3,489.332,4,3.44,0
128,4,3,510.0,5,3.508,0
129,2,4,539.0,4,2.462,0
130,3,2,660.0,3,2.325,0
131,1,2,69.0,2,0.795,1
132,2,1,70.0,4,1.099,0
133,1,3,71.0,2,0.84,1
134,1,2,78.0,2,0.8,0
135,1,3,78.4,2,0.746,0
136,1,3,80.0,3,1.067,0
137,2,2,89.0,4,1.316,0
138,1,2,90.0,3,1.337,0
139,1,3,90.0,2,0.868,0
140,1,3,92.0,3,0.924,0
141,1,3,93.675,2,0.61,0
142,1,2,98.0,2,1.22,0
143,1,3,98.0,1,0.722,1
144,1,2,99.0,3,1.643,0
145,1,3,100.0,1,0.722,1
146,1,3,106.716,3,1.08,0
147,1,3,111.0,3,1.039,0
148,1,2,111.0,3,1.051,0
149,2,2,114.8,2,0.967,0
150,1,2,120.108,3,1.098,0
151,1,3,123.225,3,1.05,0
152,2,2,123.75,3,1.11,0
153,1,2,125.0,3,0.888,0
154,2,3,125.0,3,1.12,0
155,2,2,126.0,3,1.08,0
156,1,2,129.0,3,0.957,0
157,1,2,134.0,2,0.952,0
158,2,2,135.0,3,1.211,0
159,2,2,135.5,3,1.264,0
160,1,2,140.0,3,1.08,0
161,2,3,140.0,3,1.266,0
162,2,2,142.5,2,0.994,1
163,2,2,143.5,3,1.202,0
164,1,3,145.0,2,0.722,0
165,2,3,145.0,4,1.448,0
166,2,3,145.0,3,1.188,0
167,2,2,146.0,4,1.183,0
168,1,3,148.5,3,1.32,0
169,2,3,149.0,3,1.117,0
170,2,3,150.0,3,1.364,0
171,2,3,150.0,4,1.31,0
172,2,3,152.0,2,1.006,0
173,2,2,156.0,3,1.104,0
174,1,2,156.0,2,0.81,0
175,2,3,156.0,2,1.123,0
176,1,2,157.788,2,0.904,0
177,2,2,161.653,3,1.156,0
178,1,3,161.829,2,1.321,0
179,2,2,165.0,3,1.392,0
180,2,3,168.0,3,1.439,0
181,2,2,169.0,3,1.159,0
182,2,2,175.0,3,1.671,0
183,2,3,176.25,3,1.74,0
184,2,3,179.0,3,1.265,0
185,2,2,180.0,2,1.007,0
186,2,3,180.4,3,1.716,0
187,2,3,182.0,4,1.685,0
188,2,2,184.5,4,1.829,0
189,2,3,185.0,3,1.555,0
190,2,2,189.0,4,1.12,0
191,2,2,194.0,3,1.137,0
192,1,3,195.0,3,1.174,0
193,2,2,200.0,3,1.393,0
194,2,3,205.0,3,1.289,0
195,2,2,205.0,4,1.799,0
196,3,3,205.0,4,1.953,0
197,1,3,207.0,2,0.723,0
198,2,2,215.0,4,1.578,0
199,2,2,215.0,3,1.317,0
200,1,3,222.381,3,1.36,0
201,2,2,225.0,3,1.522,0
202,2,2,225.0,4,1.751,0
203,2,3,225.0,3,1.465,0
204,2,3,228.0,4,1.605,0
205,2,2,229.665,4,1.475,0
206,1,4,230.0,3,1.216,0
207,2,2,230.0,2,1.315,0
208,2,3,230.0,3,1.567,0
209,2,2,234.0,3,1.776,0
210,2,2,235.0,3,2.187,0
211,1,3,236.25,3,1.291,0
212,2,2,245.0,3,1.503,0
213,3,3,245.0,4,2.491,0
214,1,1,245.0,2,1.269,0
215,2,2,250.0,3,1.176,0
216,2,2,250.0,4,1.456,0
217,2,4,250.0,3,1.498,0
218,2,2,255.0,3,1.574,0
219,2,3,257.729,3,2.17,0
220,2,3,260.0,4,1.595,0
221,2,2,261.0,3,1.567,0
222,2,3,264.469,4,1.253,0
223,3,2,265.0,4,1.768,0
224,3,2,270.0,4,2.03,0
225,2,2,270.0,3,1.531,0
226,3,3,275.0,4,1.653,0
227,2,3,275.0,4,2.056,0
228,3,3,280.0,4,2.494,0
229,2,2,286.013,3,1.45,0
230,2,2,292.0,4,2.169,0
231,2,4,292.0,3,1.44,0
232,2,2,293.993,3,1.527,0
233,2,4,294.0,3,1.401,0
234,2,2,296.769,3,1.411,0
235,1,2,300.0,3,1.284,0
236,3,3,300.0,4,2.307,0
237,2,2,300.5,4,1.91,0
238,2,2,305.0,3,1.981,0
239,2,3,319.789,4,2.205,0
240,2,4,330.0,2,1.449,0
241,2,4,330.0,3,1.258,0
242,2,3,331.0,3,2.575,0
243,1,3,334.0,2,0.539,0
244,3,2,336.0,4,2.208,0
245,1,1,339.0,3,1.108,0
246,2,4,339.0,4,1.595,0
247,2,3,345.0,4,2.159,0
248,2,4,356.0,3,1.838,0
249,2,3,361.745,4,1.9,0
250,2,1,361.948,4,1.718,0
251,3,3,370.0,5,3.389,0
252,4,3,385.0,5,3.26,0
253,2,4,399.0,3,2.016,0
254,2,4,402.0,4,2.607,0
255,3,3,406.026,4,2.724,0
256,4,3,420.0,5,3.746,0
257,2,2,425.0,4,3.192,0
258,1,1,445.0,2,1.247,0
259,2,4,450.0,4,2.581,0
260,1,2,460.0,3,2.068,0
261,3,3,460.0,4,3.992,0
262,4,2,465.0,4,3.397,0
263,3,2,471.75,5,3.881,0
264,2,2,484.0,2,1.598,0
265,3,3,495.0,4,3.07,0
266,3,3,572.5,5,3.984,0
267,2,2,582.0,4,2.222,0
268,3,4,613.401,4,3.838,0
269,5,2,680.0,5,2.846,0
270,2,1,699.0,5,2.484,0
271,1,2,61.5,3,0.97,0
272,1,1,62.05,2,0.623,0
273,1,3,65.0,2,0.932,0
274,1,2,65.0,2,0.796,0
275,1,3,68.0,2,0.834,0
276,1,3,68.0,2,0.834,0
277,1,2,77.0,2,0.924,1
278,1,2,82.732,2,0.795,1
279,1,2,84.0,3,1.25,0
280,1,3,84.675,2,0.984,0
281,1,3,85.0,3,1.013,0
282,1,3,90.0,3,1.012,0
283,1,3,90.0,2,0.795,1
284,2,2,91.0,2,0.918,0
285,1,2,95.0,3,1.082,0
286,1,2,97.5,2,0.964,0
287,1,3,100.0,1,0.625,1
288,1,2,101.0,2,0.888,0
289,2,2,102.75,4,1.12,0
290,1,2,112.5,3,1.331,0
291,1,2,113.0,3,1.014,0
292,2,3,114.0,4,1.448,0
293,1,2,114.0,3,0.966,0
294,1,3,114.75,2,0.779,0
295,2,2,115.0,2,0.836,1
296,2,4,115.0,2,1.1,1
297,1,3,116.1,3,1.174,0
298,2,2,119.25,3,1.207,0
299,1,3,120.0,2,0.804,0
300,2,2,120.0,2,0.958,1
301,2,3,120.108,3,1.366,0
302,2,3,121.5,2,0.901,0
303,1,2,121.725,3,0.696,0
304,2,3,122.0,3,1.08,0
305,2,3,123.0,3,1.104,0
306,1,2,125.0,2,0.972,0
307,2,2,125.573,4,1.39,0
308,2,2,126.714,4,1.354,0
309,1,3,126.96,2,0.795,1
310,1,4,127.0,2,0.78,1
311,2,3,127.5,4,1.587,0
312,2,2,130.0,3,1.209,0
313,1,3,133.105,2,1.139,0
314,2,2,136.5,2,1.69,0
315,2,2,139.5,3,1.245,1
316,2,2,140.0,3,1.416,0
317,2,3,140.8,3,1.3,0
318,2,3,145.0,3,1.12,0
319,2,3,147.0,4,1.59,0
320,2,3,149.6,3,1.407,0
321,2,3,150.0,5,1.516,0
322,2,3,150.0,3,1.646,0
323,2,3,155.0,3,1.676,0
324,2,2,155.435,3,1.37,0
325,2,2,155.5,3,1.37,0
326,2,2,158.0,4,1.351,0
327,2,2,158.0,3,1.152,0
328,2,3,160.0,3,1.452,0
329,1,4,160.0,2,0.99,0
330,2,2,164.0,2,1.162,0
331,2,2,164.0,3,1.182,0
332,2,3,165.0,2,1.112,0
333,2,3,167.0,3,1.1,0
334,2,2,167.293,4,1.28,0
335,2,2,167.293,4,1.28,0
336,1,3,168.0,3,1.039,0
337,2,2,170.0,3,1.159,0
338,2,2,170.0,4,1.917,0
339,2,2,170.0,3,1.52,0
340,2,3,174.0,3,1.204,0
341,2,2,178.0,3,1.12,0
342,2,3,180.0,3,1.436,0
343,2,3,180.0,3,1.451,0
344,2,3,180.0,4,1.638,0
345,2,2,182.0,2,1.0,1
346,1,4,188.325,3,1.152,0
347,2,4,191.5,3,1.154,0
348,2,2,192.0,3,1.353,0
349,2,2,192.7,3,1.329,0
350,1,3,195.0,3,1.356,0
351,2,2,197.654,3,1.505,0
352,1,2,198.0,3,1.009,0
353,2,3,200.345,3,1.144,0
354,1,2,203.0,2,0.93,0
355,2,2,207.0,4,1.766,0
356,3,3,208.0,4,1.94,0
357,2,3,210.0,4,1.776,0
358,1,2,212.0,3,1.258,0
359,2,3,213.675,4,1.872,0
360,2,3,213.697,2,1.112,0
361,2,2,215.0,4,1.856,0
362,3,1,215.0,4,1.939,0
363,1,4,215.1,3,0.998,0
364,2,4,217.5,3,1.758,0
365,2,2,218.0,3,2.142,0
366,1,3,220.0,2,0.95,0
367,3,3,221.0,4,1.739,0
368,2,3,222.9,3,1.516,0
369,1,2,223.139,3,0.988,0
370,2,3,225.5,4,1.555,0
371,2,3,228.327,3,1.212,0
372,2,2,230.0,4,1.871,0
373,2,3,230.0,3,1.302,0
374,1,2,230.522,2,0.756,1
375,3,2,231.2,4,2.026,0
376,2,3,232.0,3,1.375,0
377,2,2,232.5,2,1.25,1
378,1,3,233.641,3,1.058,0
379,2,2,234.0,3,1.187,0
380,2,3,234.5,2,1.324,0
381,3,3,235.0,4,1.936,0
382,2,4,236.073,3,1.427,0
383,2,2,238.0,3,1.678,1
384,2,3,238.861,4,1.798,0
385,3,2,239.7,4,2.652,0
386,2,3,240.0,4,1.816,0
387,3,2,240.0,5,3.076,0
388,2,3,241.0,4,1.844,0
389,2,3,245.0,3,1.306,0
390,3,2,246.0,4,2.447,0
391,2,3,247.234,4,1.176,0
392,2,2,247.48,4,1.182,0
393,1,2,249.862,3,1.16,0
394,2,2,251.0,3,1.424,0
395,2,2,252.155,4,1.574,0
396,2,2,254.172,3,1.83,0
397,2,3,258.0,4,1.724,0
398,2,4,260.0,2,1.255,1
399,3,2,261.0,4,2.175,0
400,2,2,261.0,4,1.904,0
401,2,4,262.5,4,1.808,0
402,2,2,266.0,4,2.711,0
403,1,2,266.0,3,1.713,0
404,2,3,270.0,3,1.457,0
405,3,3,274.425,4,2.724,0
406,2,3,275.336,3,1.468,0
407,3,2,277.98,4,2.55,0
408,2,3,280.0,4,1.928,0
409,3,1,284.686,3,1.922,0
410,2,2,284.893,3,1.343,0
411,2,4,285.0,3,1.51,0
412,2,2,285.0,4,1.559,0
413,3,3,295.0,5,2.992,0
414,2,3,296.0,4,2.109,0
415,2,2,296.056,4,1.524,0
416,2,3,297.359,3,1.248,0
417,2,3,299.94,4,1.876,0
418,3,2,305.0,4,1.851,0
419,2,2,311.328,4,2.218,0
420,2,3,313.138,3,1.394,0
421,2,3,316.63,3,1.41,0
422,3,3,320.0,5,3.468,0
423,3,2,320.0,5,2.346,0
424,3,2,325.0,5,2.347,0
425,2,2,328.578,4,1.659,0
426,3,3,331.0,3,2.442,0
427,2,2,340.0,4,2.155,0
428,2,3,345.746,3,1.81,0
429,2,3,351.0,4,2.789,0
430,2,3,353.767,4,1.606,0
431,2,2,356.035,4,2.166,0
432,2,2,360.552,4,1.871,0
433,2,2,362.305,3,1.8,0
434,1,1,365.0,3,1.683,0
435,2,4,370.0,2,1.596,0
436,2,3,378.0,3,1.179,0
437,1,1,388.0,3,1.639,0
438,3,2,395.1,5,3.281,0
439,2,1,400.0,3,1.697,0
440,3,2,408.431,4,2.085,0
441,3,4,423.0,4,1.939,0
442,3,1,427.5,2,1.788,0
443,2,4,430.922,3,1.691,0
444,2,3,445.0,4,2.002,0
445,4,3,450.0,4,4.303,0
446,3,2,452.0,5,4.246,0
447,2,4,470.0,3,2.274,0
448,4,2,475.0,4,3.056,0
449,3,3,484.5,3,2.503,0
450,2,4,500.0,3,1.905,0
451,2,4,506.688,3,1.32,0
452,2,2,528.0,4,3.037,0
453,2,3,579.093,5,3.741,0
454,3,4,636.0,4,2.66,0
455,3,2,668.365,4,3.357,0
456,3,4,676.2,5,2.896,0
457,3,3,691.659,5,3.788,0
458,1,3,55.422,2,0.838,0
459,1,2,63.0,2,0.904,0
460,1,2,65.0,2,1.032,0
461,1,2,65.0,2,0.904,0
462,1,1,65.0,2,1.08,0
463,2,3,66.5,2,0.99,0
464,1,2,71.0,2,0.9,0
465,1,3,75.0,2,0.861,0
466,1,3,77.0,2,0.906,1
467,1,2,85.0,2,1.011,0
468,2,3,95.625,3,1.089,0
469,1,2,96.14,2,0.832,0
470,1,3,104.25,2,0.8,1
471,2,2,105.0,4,1.292,0
472,1,3,108.0,2,0.81,0
473,2,2,109.0,4,1.064,0
474,1,2,115.0,2,0.911,0
475,1,2,115.0,1,0.846,1
476,2,2,115.5,3,1.32,0
477,2,2,115.62,3,1.41,0
478,2,2,116.0,3,1.115,0
479,2,3,122.0,3,1.169,0
480,2,3,122.5,3,1.164,0
481,2,3,123.0,4,1.341,0
482,2,2,124.0,3,1.219,0
483,2,2,124.0,4,1.127,0
484,2,2,124.413,3,1.272,0
485,2,3,125.0,4,1.253,0
486,2,3,130.0,3,1.12,0
487,2,2,131.75,2,1.118,0
488,3,2,137.721,4,1.89,0
489,2,2,137.76,3,1.26,0
490,2,3,138.0,3,1.4,0
491,1,2,140.0,3,1.264,0
492,1,3,145.0,3,1.06,0
493,2,3,145.0,2,1.132,0
494,2,3,150.0,3,1.466,0
495,2,2,150.0,3,1.092,0
496,2,3,151.0,4,1.628,0
497,2,2,155.0,3,0.96,0
498,2,2,155.8,3,1.075,0
499,2,3,156.142,3,1.428,0
500,2,3,158.0,4,1.358,0
501,2,2,160.0,3,1.41,0
502,2,2,161.5,3,1.711,0
503,2,3,161.6,4,1.483,0
504,2,3,162.0,3,1.14,0
505,2,3,165.0,4,1.549,0
506,2,3,165.0,3,1.41,0
507,2,3,167.293,3,1.24,0
508,2,2,168.0,5,1.712,0
509,2,3,168.0,4,1.58,0
510,2,2,168.75,3,1.669,0
511,1,3,168.75,3,1.029,0
512,1,2,170.0,3,1.103,0
513,2,3,170.25,3,2.161,0
514,2,3,173.0,3,1.65,0
515,2,3,176.095,3,1.2,0
516,2,2,176.25,3,1.17,0
517,2,2,178.0,3,1.199,0
518,2,3,179.0,4,1.695,0
519,2,2,180.0,3,1.157,0
520,2,2,180.0,3,1.41,0
521,2,4,180.0,3,1.174,0
522,2,3,181.0,3,1.593,0
523,2,2,182.0,3,1.093,0
524,2,4,182.587,3,1.77,0
525,2,3,185.074,4,1.436,0
526,2,3,185.833,3,1.124,0
527,2,3,186.785,4,1.139,0
528,2,3,187.0,3,1.638,0
529,2,2,188.335,3,1.328,0
530,2,3,190.0,3,1.273,0
531,1,2,190.0,3,1.082,0
532,2,2,190.0,4,1.578,0
533,1,4,190.0,2,0.796,0
534,2,3,191.25,3,1.386,0
535,2,2,193.0,3,1.452,0
536,2,3,193.5,3,1.513,0
537,2,2,195.0,4,1.578,0
538,3,2,195.0,4,1.736,0
539,1,2,195.0,3,1.473,0
540,1,3,198.0,3,1.15,0
541,2,2,199.9,3,1.127,0
542,1,2,200.0,3,1.144,0
543,1,2,201.0,3,0.972,0
544,2,3,204.918,4,2.306,0
545,2,2,205.0,3,1.479,0
546,2,2,205.878,3,1.43,0
547,2,3,207.0,4,1.8,0
548,2,2,207.744,4,1.953,0
549,2,2,209.0,3,1.12,0
550,2,2,210.0,3,1.232,0
551,1,2,210.944,1,0.984,1
552,2,3,213.75,4,2.329,0
553,2,3,215.0,3,1.351,0
554,1,4,215.0,4,1.376,0
555,2,2,220.0,4,1.566,0
556,1,1,220.0,2,1.115,0
557,1,1,220.0,2,1.032,0
558,2,2,220.0,4,1.419,0
559,2,3,220.0,3,1.261,0
560,2,2,220.702,2,1.637,0
561,2,3,222.0,3,1.338,0
562,2,3,222.75,5,2.254,0
563,2,2,225.0,3,1.441,0
564,2,2,225.0,4,1.991,0
565,3,3,228.75,4,2.126,0
566,2,3,229.0,3,1.094,0
567,2,4,230.095,3,1.462,0
568,3,2,232.5,5,2.258,0
569,2,2,233.0,3,1.074,0
570,2,3,233.5,4,2.111,0
571,2,2,239.0,3,1.686,0
572,3,2,240.0,4,1.915,0
573,2,3,240.0,4,2.367,0
574,2,3,240.971,3,1.962,0
575,2,2,242.0,2,1.406,0
576,2,3,243.45,3,1.789,0
577,2,2,243.5,4,1.876,0
578,2,2,246.544,3,1.235,0
579,2,2,246.75,4,2.504,0
580,2,2,247.0,3,1.676,0
581,2,2,249.0,3,1.367,0
582,3,3,249.0,4,1.899,0
583,2,3,250.0,3,1.636,0
584,2,2,250.0,3,1.828,0
585,2,3,252.0,4,1.438,0
586,2,3,255.0,3,1.451,0
587,1,2,255.0,3,1.52,0
588,2,4,255.0,3,1.506,0
589,2,2,257.2,4,2.605,0
590,2,2,260.0,3,1.196,0
591,2,4,260.0,3,1.621,0
592,2,2,263.5,3,1.811,0
593,2,3,266.51,3,1.54,0
594,2,3,275.0,3,1.543,0
595,3,2,276.0,5,2.494,0
596,2,4,276.5,3,1.65,0
597,3,3,278.0,4,2.214,0
598,3,2,279.0,5,2.28,0
599,2,2,280.0,3,1.443,0
600,2,2,280.0,4,1.582,0
601,2,3,285.0,3,1.857,0
602,2,3,288.0,3,1.735,0
603,3,3,289.0,4,2.096,0
604,2,2,290.0,3,1.72,0
605,2,2,290.0,4,2.16,0
606,2,2,293.996,4,1.382,0
607,2,3,294.173,4,1.721,0
608,2,4,295.0,4,1.328,0
609,2,3,298.0,4,1.982,0
610,1,1,299.0,2,1.144,0
611,2,2,300.0,2,1.623,0
612,2,4,300.0,3,1.457,0
613,3,3,300.0,6,2.555,0
614,2,4,300.567,3,1.577,0
615,3,3,303.0,5,2.592,0
616,2,2,305.0,3,1.401,0
617,2,2,310.0,3,1.502,0
618,2,4,310.0,3,1.327,0
619,3,4,310.0,4,1.8,0
620,2,3,311.518,4,2.169,0
621,3,4,312.0,5,2.457,0
622,2,2,315.0,4,2.004,0
623,3,4,315.0,4,2.212,0
624,3,2,315.0,5,3.134,0
625,2,2,315.0,3,1.36,0
626,2,3,320.0,3,1.276,0
627,3,2,322.0,4,2.962,0
628,2,4,325.0,4,1.888,0
629,2,3,328.37,3,1.548,0
630,3,2,330.0,4,2.109,0
631,2,2,331.2,4,2.484,0
632,3,2,332.0,4,2.258,0
633,3,2,334.0,3,2.212,0
634,2,2,335.0,3,1.616,0
635,2,2,341.0,4,2.372,0
636,3,4,346.375,5,2.606,0
637,3,3,349.0,5,2.877,0
638,2,2,350.0,3,2.96,0
639,2,4,350.0,3,2.172,0
640,2,4,350.0,3,2.1,1
641,2,3,351.0,3,1.795,0
642,2,4,360.0,4,2.295,0
643,3,4,367.463,4,2.577,0
644,1,3,380.0,3,1.727,0
645,2,3,380.578,3,1.485,0
646,2,2,386.222,3,1.655,0
647,2,4,395.5,3,2.049,0
648,3,3,397.0,5,2.875,0
649,2,4,400.0,4,2.199,0
650,1,1,413.5,2,1.304,0
651,2,2,415.0,3,2.334,0
652,3,4,420.454,4,2.278,0
653,1,1,425.0,3,1.493,0
654,3,4,441.0,5,2.787,0
655,3,3,445.0,5,2.824,0
656,3,4,446.0,4,3.261,0
657,2,2,450.0,4,2.053,0
658,3,4,455.0,4,2.379,0
659,2,2,525.0,3,3.173,0
660,1,2,545.0,3,1.348,0
661,1,1,575.0,2,1.252,0
662,3,4,575.0,4,3.229,0
663,4,3,598.695,5,3.863,0
664,3,4,600.0,4,2.356,0
665,3,4,610.0,5,3.579,0
666,2,3,56.95,4,1.512,0
667,1,3,60.0,1,0.611,1
668,1,3,61.0,2,0.876,0
669,1,2,62.0,2,0.933,1
670,1,3,68.566,2,0.864,0
671,1,2,70.0,2,1.011,0
672,2,2,80.0,4,1.158,0
673,2,2,85.5,3,1.092,0
674,1,2,92.0,2,0.956,1
675,2,3,93.6,2,1.139,0
676,1,3,95.0,3,1.058,0
677,2,2,97.75,3,1.04,0
678,2,3,104.0,3,1.354,0
679,1,2,105.0,3,1.051,0
680,1,2,107.666,1,0.682,1
681,1,3,109.0,3,1.161,0
682,1,2,110.0,3,1.004,0
683,1,2,110.0,3,1.229,0
684,2,3,112.5,3,1.249,0
685,2,3,114.8,3,1.161,0
686,1,3,116.0,3,1.01,0
687,2,3,121.5,4,1.462,0
688,2,3,122.0,3,1.269,0
689,2,3,123.675,2,1.188,0
690,2,2,126.854,4,1.57,0
691,2,1,127.059,3,1.093,0
692,1,3,128.687,3,0.962,0
693,2,3,129.5,3,1.089,0
694,2,3,130.0,3,1.127,0
695,2,3,131.75,4,1.309,0
696,1,2,132.0,2,0.97,0
697,2,3,134.0,3,1.144,0
698,1,2,134.0,3,1.0,0
699,2,2,142.0,3,1.206,0
700,1,2,143.012,3,1.285,0
701,2,3,145.846,3,1.543,0
702,1,2,147.0,2,0.884,0
703,1,1,148.75,3,1.019,0
704,2,3,150.0,4,1.392,0
705,1,2,150.454,2,0.924,1
706,2,3,151.087,3,1.217,0
707,2,2,157.296,3,1.67,0
708,2,3,157.5,3,1.302,0
709,2,3,160.0,3,1.488,0
710,2,2,160.0,3,1.373,0
711,2,2,161.25,4,1.381,0
712,2,3,164.0,3,1.265,0
713,1,1,165.0,2,0.881,0
714,2,3,165.75,4,1.608,0
715,1,2,166.0,3,1.344,0
716,2,2,169.0,3,1.202,0
717,2,4,170.0,3,1.104,0
718,2,3,170.0,3,1.232,0
719,1,3,170.725,3,1.638,0
720,2,3,171.75,2,1.177,0
721,2,2,172.0,3,1.582,0
722,2,3,173.056,2,0.904,0
723,2,3,174.0,3,1.34,0
724,2,2,174.25,3,1.204,0
725,2,3,176.85,4,1.477,0
726,2,3,179.5,4,1.497,0
727,1,2,185.0,3,0.96,0
728,2,2,188.7,3,1.428,0
729,1,3,189.0,3,1.039,0
730,1,2,189.0,3,1.529,0
731,3,2,189.836,4,1.892,0
732,2,2,190.0,4,1.887,0
733,2,2,191.25,3,1.294,0
734,2,3,191.675,3,1.638,0
735,2,3,195.5,3,1.677,0
736,1,2,198.0,3,1.073,0
737,2,2,200.0,3,1.231,0
738,2,3,200.0,3,1.175,0
739,2,3,200.0,3,1.416,0
740,2,2,201.528,3,1.358,0
741,2,3,204.75,4,1.609,0
742,3,2,205.0,4,1.968,0
743,2,1,205.0,2,1.089,0
744,2,2,205.9,3,1.296,0
745,2,3,207.0,2,1.189,0
746,1,2,207.973,2,0.795,0
747,2,4,208.25,3,1.371,0
748,1,2,208.318,3,1.31,0
749,2,3,209.347,3,1.262,0
750,2,3,211.5,4,1.74,0
751,2,2,212.0,3,1.517,0
752,2,3,213.0,3,1.45,0
753,2,3,216.0,3,1.416,0
754,1,3,216.021,3,0.888,0
755,2,2,219.0,3,1.882,0
756,2,3,219.794,3,1.302,0
757,2,3,220.0,3,1.418,0
758,2,2,220.0,4,1.319,0
759,2,3,220.0,4,1.77,0
760,2,2,223.0,4,1.627,0
761,1,2,224.0,3,1.04,0
762,1,2,224.252,3,0.96,0
763,1,2,225.0,3,1.456,0
764,2,3,228.0,3,1.45,0
765,2,4,229.027,3,1.358,0
766,2,3,229.5,4,1.329,0
767,2,3,230.0,4,1.715,0
768,2,3,230.0,3,1.262,0
769,3,3,232.425,4,2.28,0
770,2,3,234.0,3,1.477,0
771,2,2,235.0,3,1.216,0
772,2,3,235.301,4,1.685,0
773,2,4,235.738,3,1.362,0
